SqFt,Bedrooms,Bathrooms,Dist_Center,House_Age,Floors,Lot_Size,Walk_Score,HOA_Fee,Crime_Rate,Dist_School,Grocery_Stores,Prop_Tax,Maint_Cost,Median_Income,Region,House_Cond,Urban_Rural,House_Price
4323,2,3,16.8,47,2,19812,79,352.68,49,5.3,14,2.43,5349.06,188374,B,High,Urban,1107770.51
5148,5,4,28.4,23,2,4033,39,208.74,38,4.5,28,3.74,4121.31,146223,E,High,Urban,1213057.59
3708,2,4,42.6,98,1,9860,38,379.04,137,5,9,3.02,6244.9,100171,E,Medium,Urban,728358.14
5879,1,2,10.5,21,1,8813,51,196.62,11,3.1,20,4.97,7155.82,137917,E,Low,Urban,1278213.4
4690,5,1,46.8,99,3,18798,31,413.18,78,1.7,25,2.41,6141.38,139416,D,Low,Urban,996068.75
2656,2,2,34.6,10,2,14860,72,133.65,14,0.6,2,1.29,9242.33,178116,B,Medium,Urban,796103.43
3770,3,1,41.3,118,2,15294,26,138.77,27,2,29,2.62,6466.17,138501,E,Low,Urban,879943.84
2282,1,4,28,57,2,4621,51,261.19,131,5.9,1,1.56,8846.52,20537,C,Medium,Urban,376730.86
2855,1,1,39.1,45,1,18138,96,215.38,35,7.9,13,3.03,6076.11,134233,E,High,Urban,668427.92
1754,1,4,1.3,28,3,3347,62,324.06,118,1.8,25,1.07,3631.96,96552,A,Medium,Urban,563649.5
5099,3,3,41,34,1,15882,73,182.15,64,1.2,10,4.77,5556.82,55453,C,Medium,Urban,925687.11
3791,3,3,2.5,111,1,18110,62,115.28,97,7.5,8,4.37,1320.2,21980,E,High,Urban,754094.51
2296,4,3,44.6,117,1,5923,16,234.9,46,3.1,7,1.2,2686.66,91442,D,Low,Rural,500008.45
4591,6,2,49.6,14,3,16611,48,280.48,80,9.5,29,1.28,7779.2,184379,E,Medium,Rural,1058070.19
5323,2,2,15.1,59,1,16367,99,71.3,38,7.2,24,2.81,6784.02,108966,B,Medium,Urban,1024810.99
5282,4,4,10.9,94,2,10066,80,278.36,37,3.3,12,3.98,2081.93,195916,B,Low,Rural,1215494.75
2248,2,3,38.4,41,2,4279,81,159.63,43,3,17,1.49,4661.14,179701,E,Medium,Urban,702156.59
2045,6,2,13,104,2,4807,22,196.23,96,5.3,25,0.77,1848.93,178847,D,High,Rural,644951.74
4799,3,3,43.3,42,3,14965,97,139.66,123,0.9,12,2.95,8630.27,191101,D,Medium,Urban,1070400.09
4523,6,2,5.6,79,1,17123,71,465.71,25,1.3,16,3.61,1537.11,115934,D,Low,Rural,985439.81
853,3,1,6.7,73,3,17991,12,341.67,96,1.8,10,1.6,6715.23,61988,E,Low,Urban,293072.79
3783,6,1,49,48,1,1634,22,131.23,0,7.8,27,3.83,6266.5,151123,E,Medium,Rural,897183
3157,4,3,33.9,63,2,13771,56,322.52,52,5.2,25,4.78,4991.38,44818,A,Low,Urban,612858.09
698,5,4,42.4,31,1,18458,61,424.29,5,0.2,12,1.12,3143.23,152758,B,Low,Rural,584999.64
2800,4,2,16.6,63,1,19298,53,200.82,36,6.8,11,2.8,4337.59,170277,C,Medium,Rural,836218.91
3561,2,2,34,114,1,15340,19,414.98,1,4.3,25,0.76,8160.72,159168,C,Medium,Rural,748124.5
5573,4,1,29.9,1,3,1588,85,77.21,122,5.2,29,1.43,7734.73,128336,B,Low,Urban,1110111.93
5033,1,1,30.4,23,1,4231,51,411.39,68,2.2,14,0.9,7518.69,194159,A,Medium,Rural,1125831.1
4377,2,4,34.3,86,1,7351,22,270.15,12,5.6,22,2.32,7623.32,143574,B,High,Rural,1002812.93
3469,6,4,29,65,1,4838,34,111.49,68,9.8,20,4.19,1866.92,28545,A,Medium,Urban,580884.98
3834,2,4,21.7,37,3,2973,66,203.57,65,0.8,13,3.1,1441.42,136377,A,Low,Urban,936645.43
4391,5,3,14.2,30,3,15346,33,494,58,2.9,2,1.5,8684.24,28484,D,High,Rural,829202.23
1556,3,1,38.5,114,3,6044,32,391.78,67,2.5,27,0.68,8453.16,43667,B,Low,Urban,281746.16
4667,6,3,11.7,103,1,11247,45,287.54,58,2.6,20,2.99,6972.52,90111,C,Low,Rural,991136.58
760,2,1,34.8,25,2,12672,80,57.58,116,3.8,7,1.1,6256.1,106492,E,High,Rural,387478.44
5093,6,1,12,28,2,11271,44,208.91,9,8.2,1,2.04,3985.28,147000,E,Medium,Urban,1192065.18
1900,6,2,31.5,66,2,7683,18,131.53,140,9.1,25,2.8,2628.78,96206,B,Low,Rural,380688.72
5511,6,1,37.5,77,1,12244,93,35.5,129,2.1,3,4.57,6842.74,166709,E,Medium,Rural,1098876.93
4587,3,1,11.3,24,2,7783,86,271.1,14,5.5,29,0.87,9173.83,112476,A,Medium,Urban,933262.13
2127,4,3,3.5,47,2,6594,14,444.59,45,6.4,29,3.51,4651.47,118941,E,High,Urban,566271.85
5854,6,1,7,64,2,4822,77,337.8,137,5.3,20,0.56,3380.52,60747,A,Low,Rural,987894.44
1818,1,3,30.5,52,1,4389,65,124.84,149,4.4,12,3.33,3072.05,79749,A,High,Rural,411503.88
5096,5,4,42.5,66,2,6914,38,286.79,88,2,5,2.98,725.2,29491,C,High,Rural,837523.72
5335,3,1,2.7,117,2,19164,17,471.62,76,4.9,12,4.15,5443.01,73100,E,Low,Urban,971338.25
3704,2,1,36.8,89,1,4688,69,361.46,135,4.1,29,2.89,9888.24,143569,C,Low,Rural,851487.5
3335,3,3,17.4,17,3,15683,58,344.74,148,8,3,2.09,8244.76,163703,E,High,Rural,983240.74
5155,2,4,24.2,8,2,14080,31,484.08,149,7.7,20,1.59,9026.01,178254,A,High,Rural,1212663.4
1554,3,2,46.5,37,3,10916,20,399.44,109,1.4,5,0.88,6401.06,28903,E,High,Urban,363604.11
5165,2,4,16.9,86,2,6037,39,68.31,96,1,28,2.91,5073.74,112722,C,Low,Rural,999260.7
4046,6,3,23.5,20,1,14453,91,173.82,44,9.1,1,4.5,9909.34,77782,D,Low,Rural,837283.9
1645,4,4,1.2,64,3,9640,26,482.57,90,5.4,16,2.82,4748.04,97261,C,High,Urban,515237.79
2293,2,3,4.5,20,3,1081,1,244.85,113,8.6,9,3.83,9209.89,97606,D,Low,Urban,554684.64
4036,2,3,13.3,26,3,7278,96,55.82,149,0.7,10,1.84,7737.53,56109,B,Low,Rural,782134.97
1162,1,2,1.9,105,3,17078,79,229.3,72,5.3,29,2.52,3644.3,101604,C,Low,Urban,400664.43
3085,2,1,31.8,69,2,16536,38,348.5,34,5.4,10,1.96,5279.09,91086,E,Medium,Rural,731891.85
3954,1,3,21.6,118,2,18790,85,498.77,41,8.6,13,0.99,4151.13,169239,D,Medium,Rural,960127.27
825,5,3,27.6,43,3,8410,55,161.95,132,1.1,16,2.38,1794.12,45443,E,High,Urban,224014.02
5493,6,2,9.1,99,2,16926,12,257.04,26,2.5,20,3.94,3889.28,135155,D,Medium,Rural,1147593.75
1559,1,3,15.1,27,3,16500,55,439.84,31,4.1,29,2.28,8945.24,150560,C,High,Rural,574966.78
5148,4,1,33.4,44,3,2480,65,177.63,135,8.7,25,3.43,7650.04,180620,C,High,Rural,1150034.85
3667,6,2,48.3,16,1,10271,77,54.63,102,9.4,4,3.91,3137.02,82358,E,Low,Rural,753621.34
1415,1,1,3,39,3,4598,55,474.47,84,9.9,14,1.95,3995.18,107825,C,High,Rural,433307.54
5354,6,1,44.6,115,2,16032,27,244.22,145,9.6,17,4.09,6356.12,169232,E,High,Urban,1154481.33
5242,6,2,29.1,2,3,8993,63,251.39,77,0.2,28,2.03,4453.33,119385,A,High,Rural,1123507.86
5911,6,3,28.4,75,1,11895,70,310.6,142,0.6,5,1.65,5278.92,197277,D,High,Rural,1380483.71
3720,5,1,25.3,102,2,16367,81,1.77,43,1.6,13,1.5,7132.6,82280,E,Low,Urban,768558.94
616,4,1,3.9,75,1,8644,63,465.57,31,3.6,25,1.4,4938.88,56852,D,Low,Urban,191467.46
1843,3,1,4.9,65,1,12948,55,180.73,27,8.3,3,3.82,2314.21,65021,A,High,Urban,423220.37
2805,3,1,30.2,119,3,19142,40,198.47,76,8.9,5,4.49,5445.45,125932,D,Medium,Urban,645774.35
3124,1,2,17.4,45,1,3599,99,87.05,17,1.9,16,1.54,3883.12,26195,E,Medium,Urban,492097.93
1669,6,2,45.9,85,1,6813,40,189.08,102,6.2,19,0.88,3261.98,175358,C,High,Urban,654601.86
4044,1,4,20.6,86,2,4853,99,401.97,69,9.2,28,1.91,3617.03,184653,D,Low,Urban,975643.53
3165,5,4,7.6,29,1,19676,3,400,118,4.7,19,3.46,4670.52,97674,D,High,Urban,802350.96
1660,5,1,35.9,68,3,2501,56,467.9,138,1.1,17,2.16,8922.82,46719,A,High,Rural,334152.77
2927,2,3,15,8,3,9422,29,201.61,147,4.6,18,2.97,7473.54,118576,B,Low,Rural,731522.5
4020,5,1,26.5,84,3,8550,87,354.36,96,3.8,18,3.85,6844.88,68450,C,Medium,Urban,758349.89
901,2,3,35,10,1,5250,83,253.62,135,5.8,25,2.34,4976.97,40028,E,High,Rural,349355.63
4876,4,1,45.1,68,2,7991,45,402.01,34,4.4,23,5,517.38,36192,A,Low,Rural,830677.53
1206,1,4,39.7,98,3,17498,55,356.27,68,0.3,8,1.84,3735.23,103636,E,Low,Rural,362333.58
3770,4,4,34,90,1,5406,30,183.95,125,9.9,18,4.9,8225.32,91812,E,High,Rural,777161.83
1299,5,3,34.1,112,3,19731,87,168.34,98,5.5,9,1.41,4187.62,47551,D,Low,Rural,339732.01
5688,4,1,47.3,65,3,2041,6,126.22,77,4.8,29,1,5856.28,140920,A,High,Urban,1031518.65
1739,4,3,15.1,87,2,7927,89,288.26,148,9.6,19,3.88,2445.03,81444,A,Medium,Urban,325111.15
790,4,4,0.6,30,3,17395,76,481.92,110,1.6,10,3.66,9200.65,184196,C,High,Rural,608562.32
2900,5,1,14,32,2,8871,53,100.03,16,2,29,4.15,9270.12,33654,B,Medium,Urban,546720.09
1580,6,1,11.3,38,1,7375,7,47.63,145,8.1,2,2.05,1887.67,20203,E,Low,Rural,257785.5
3575,4,3,33.3,93,3,4676,54,59.7,139,2.7,28,4.69,7379.51,171201,C,High,Rural,843036.52
1784,2,2,31.9,45,1,14017,68,391.55,143,8,17,1.04,1214.77,136284,C,Low,Rural,536252.64
3927,5,3,29.9,36,1,4065,43,175.05,3,2.8,25,0.64,6186.2,92150,E,High,Urban,802899.4
3994,4,4,1.3,114,1,3036,12,112.18,91,0.4,24,1.85,2197.21,184336,D,Low,Rural,1013963.74
727,6,4,36.6,91,3,4046,92,176.42,74,5.2,13,4.09,1884.2,164061,D,Medium,Rural,481182.09
2665,5,4,16.5,59,2,17924,19,322.67,102,2,28,3.53,539.14,147812,E,High,Rural,832683.17
2416,3,4,33.4,30,3,1076,77,273.39,23,7.6,11,2.46,9438.14,126154,A,Low,Urban,712792.49
1169,6,4,28.1,10,1,16880,31,371.79,64,6.4,16,1.65,8377.9,156400,B,High,Rural,645099.25
2495,2,2,17.5,86,2,17407,59,169.54,116,9.2,20,0.77,1236.02,148062,D,High,Urban,654795.3
3333,4,1,7.2,1,1,18059,49,226.01,81,7.9,7,2.02,6194.07,193112,B,Medium,Rural,979868.02
4463,3,3,5.2,103,2,5267,26,50.98,5,1.9,28,2.57,2712.53,79199,C,Low,Rural,780693.42
5321,3,3,41.7,104,3,6988,24,36.53,65,8,3,3.59,3008.15,77039,C,High,Rural,917743.61
4614,5,4,46,26,2,9680,51,231.13,66,6.5,16,3.41,8804.62,97232,E,High,Urban,826399.43
3501,3,3,32.7,98,3,2485,67,150.8,71,6.7,19,4.76,1586.09,121683,E,High,Rural,737438.37
2286,2,4,5.6,1,1,15713,20,306.4,94,8.3,20,0.95,6214.16,70750,E,High,Rural,559871.7
3609,2,2,20.4,102,2,3419,17,21.5,47,5.8,16,2.01,4311.93,36119,D,High,Rural,627598.57
754,1,2,36.6,100,1,16312,38,60.88,69,4.7,2,2.67,2312.61,44017,B,Low,Rural,141310.34
3137,2,1,39.1,20,2,4495,14,432.6,77,6.4,14,3.52,4793.22,199852,C,High,Rural,862787.04
2009,6,2,6.4,57,3,18140,52,283.16,66,3,26,2.73,9434.65,177276,B,High,Rural,733300.63
4657,3,2,0.5,4,2,11716,37,356.03,64,1.9,20,4.61,7925.3,170634,D,High,Urban,1098411.68
1384,2,1,35.8,51,2,13442,47,420.99,62,6.2,10,3.24,1755.06,175500,B,Low,Rural,521784.65
3775,5,3,18.2,44,3,19163,51,231.92,45,2.4,19,0.68,8569.58,41497,B,High,Urban,767547.29
4941,1,4,13.1,84,3,13961,87,380.53,146,0.9,24,1.01,9405.69,23372,E,High,Rural,807426.03
3406,3,4,1.1,92,3,11307,71,262.29,72,0.1,11,3.89,3131.16,108683,B,Medium,Urban,742814.23
1137,1,3,27.2,19,2,7487,27,111.37,70,6.1,18,3.72,3667.49,37453,B,Medium,Rural,278810.25
2441,3,1,42.6,60,1,10664,84,168.83,109,3.7,11,1.19,1699.94,132716,B,High,Urban,629491.52
5616,5,3,47.9,37,2,17360,15,245.18,62,7.5,9,0.77,3776.93,71928,A,High,Rural,1130922.95
3055,1,2,28.5,19,2,17642,15,158.44,40,3.8,19,3.1,6894.84,53960,C,Medium,Urban,584038.01
1124,4,1,26,113,1,5075,34,167.76,6,4.9,20,3.36,3085.47,37197,C,Low,Rural,210135.18
3550,6,1,4.7,24,3,18502,16,168.7,136,4.1,29,1.11,564.84,119456,B,Low,Urban,793458.02
4731,6,1,27.7,1,2,16285,72,61.42,3,6.5,10,2.63,3716.17,152955,E,Medium,Rural,1088239.19
5380,3,4,19.3,31,1,8631,98,42.32,88,3.6,26,1.88,4805.15,36651,E,High,Rural,890775.51
4715,4,3,30.6,25,3,4017,51,23.25,133,9.6,3,4.69,5880.38,22812,E,Medium,Rural,835427.2
2968,1,1,19.7,69,3,19042,92,55.48,81,9.4,3,1.49,6996.34,115981,C,Low,Urban,714597.8
4447,4,1,12.4,40,2,19181,81,171.85,20,8.5,24,3.8,1086.95,26562,D,Medium,Urban,742479.61
5095,4,1,5.2,66,3,1784,11,296.94,142,9.2,8,2.83,4962.64,90713,B,Low,Urban,890574.1
3301,1,3,16.1,96,3,6691,82,94.07,127,4.5,29,0.55,3030.44,40469,C,High,Rural,534053.1
1571,5,4,5.3,0,1,16765,47,444,104,5.4,29,2.83,9505.71,137538,E,High,Urban,709835.44
1766,4,2,9.3,50,1,4196,21,404.19,103,7.4,6,0.95,3919.04,116765,C,High,Rural,495608.17
5811,4,4,49.4,4,3,10552,48,260.26,67,7,20,3.47,1451.18,113523,C,Low,Rural,1156789.89
5529,5,1,22.5,12,1,9532,51,362.1,109,8.9,1,3.04,894.17,108641,C,Medium,Rural,1166590.23
3374,4,4,26.8,18,3,17946,78,183.16,65,7.2,20,0.55,3021.36,102969,E,High,Rural,837844.61
2582,4,4,43.7,11,2,5746,0,18.39,26,10,24,1.42,2199.35,38217,D,Low,Rural,454176.93
1453,4,2,49.8,47,1,3999,65,452.17,59,3.6,6,3.99,6673.1,116844,A,High,Rural,356979.83
4746,6,3,29.3,24,3,18577,63,63.9,117,8.3,2,1.74,8546.18,160061,B,Medium,Rural,1132759.98
4336,2,3,40.7,56,3,12302,7,473.97,43,7,19,2.75,3469.31,188307,B,High,Urban,1166686.22
4369,5,4,16.7,114,1,17452,85,285.94,35,6.9,28,1.9,5989.02,104895,C,Low,Urban,1014583.12
1174,4,4,15.6,34,1,16595,24,152.78,18,3.3,7,4.65,7437.9,93497,D,Low,Rural,495515.01
3861,6,3,20.4,75,2,19812,65,247.76,90,7.9,11,2.91,4285.63,175055,E,High,Rural,1057052.57
1748,5,3,33.8,93,3,7200,72,250.81,44,9,11,3.63,1130.09,27186,A,High,Urban,387097.39
2315,3,2,34.3,4,2,6396,72,11.64,148,2.3,4,0.88,2677.26,158578,A,Low,Rural,595916.31
5377,3,1,16.1,97,2,14410,76,177.73,97,6.3,20,0.68,8889.13,192098,C,High,Urban,1205360.29
5533,4,4,7.1,21,2,14203,69,369.93,18,4,16,1.67,8332.56,197142,C,High,Rural,1411309.54
4454,6,3,31.8,102,1,4598,93,255.03,40,9.9,5,1.89,1322.06,115761,E,High,Rural,1032184.45
5773,6,4,6.9,76,2,11564,78,122.12,25,4.8,24,3.59,2627.51,144272,E,Medium,Urban,1284576.93
3091,5,4,29.1,56,1,13748,50,167.55,27,2.4,7,3.06,7807.07,27791,E,Medium,Urban,540035.94
3260,5,3,34.8,46,1,17957,52,431.53,63,3.9,25,2.19,5116.03,113133,C,Medium,Rural,822295.86
3724,6,2,35.2,53,2,8636,14,262.77,67,6.6,16,3.44,7719.69,92306,D,High,Rural,811756.66
3651,5,4,37.8,2,2,18862,49,264.18,79,0.9,15,1.24,2505.38,29893,C,Low,Urban,762879.84
604,6,2,43.7,52,3,11265,70,480.73,50,6.1,5,0.79,9550.63,176226,C,High,Urban,507463.78
5822,2,3,25.2,83,2,10705,74,160.44,101,9.3,1,4.35,7944.27,109854,A,High,Urban,1196234.35
5915,6,1,36.6,30,3,15298,37,239.77,9,8.5,20,3.04,2375.8,191827,E,Medium,Rural,1347907.33
5469,3,1,31.1,68,2,19580,39,405.86,99,0.8,22,3.42,5805.27,125469,B,Low,Urban,1093095.9
1476,5,4,9.7,87,2,10703,65,379.46,121,9.9,22,1.88,1574.42,164586,E,Medium,Rural,602170.87
1591,6,3,1.8,103,2,14336,38,132.9,146,7,9,2.17,3933.63,182430,D,Low,Urban,673889.26
4742,6,2,14.6,117,2,9166,73,75.55,63,1.7,26,0.87,6766.4,144858,D,High,Urban,1046788.37
4964,5,4,22.4,32,3,17116,16,350.35,123,0.2,29,4.36,3636.21,122809,E,High,Urban,1094683.16
5065,2,3,31,71,3,7050,6,128.83,18,1.8,21,3.17,6739.2,43631,E,High,Urban,902194.7
1235,2,3,42.6,87,2,12184,38,461.34,75,8.4,5,0.88,2825.4,25807,C,Low,Rural,133702.53
5825,5,2,10.2,49,2,13712,67,64.62,61,0.3,22,4.12,7351.46,150184,B,Medium,Rural,1241547.35
2293,1,4,6.7,83,3,9484,34,159.16,140,2.4,27,2.5,3916.1,31908,C,Medium,Urban,455897.97
2282,5,3,48.2,15,1,3593,50,27.39,24,7.6,6,3.94,8009.57,175507,A,Medium,Rural,752681.96
5352,5,3,5.8,113,1,11315,46,351.65,88,5.9,3,0.56,1798.55,81716,A,Low,Rural,951584.1
719,2,3,24.2,115,1,16200,35,445.63,91,7.8,6,0.63,3938.79,50432,D,Low,Rural,248925.89
1430,2,2,29.5,75,3,10107,63,317.94,41,7.5,8,1.27,4907.36,120458,D,High,Urban,463008.13
4275,5,4,27.3,76,3,4869,94,468.88,116,0.6,28,1.45,4526.53,191582,B,Medium,Urban,1098742.65
5777,5,4,4.8,108,1,16447,88,64.25,38,8.9,6,3.94,4614.4,165299,D,Low,Rural,1318907.83
1969,5,4,3.3,105,1,8971,12,43.87,132,2.3,16,3.68,4725.63,169676,A,Medium,Urban,705646.7
1340,2,4,5.7,38,2,3989,17,419.21,80,5.6,28,3.27,9893.63,114101,B,Medium,Urban,480646.1
716,5,1,29.5,88,3,6340,20,427.76,145,6.5,16,4.48,2334.99,127494,A,Low,Urban,358213.94
3438,5,1,27.4,45,3,10643,64,415.52,106,1.8,27,1.61,7802.31,45790,E,Low,Urban,647515.6
1750,4,4,12.1,95,1,4823,99,399.48,110,9.8,21,4.57,5741.99,182016,E,High,Rural,725773.51
2531,1,2,32.1,87,1,14454,7,181.11,20,4.9,3,4.59,4429.47,173259,B,High,Rural,879446.44
1612,3,1,41.1,111,3,4932,47,108.73,49,0.7,17,2.45,6518.52,155097,C,High,Urban,451684.82
2264,1,3,2.6,46,2,11220,84,464.4,120,9.4,21,0.92,8608.55,175584,D,Medium,Rural,597297.41
1681,4,1,25.2,43,1,9554,42,153.5,133,5.9,6,3.77,4933.06,166979,B,Medium,Rural,570080.72
5329,3,3,34.6,8,3,3429,52,199.2,49,7,6,2.02,8715.61,57924,D,High,Rural,905027.95
1112,5,4,13,103,3,8444,84,349.78,114,5.3,22,4.08,1391.08,67196,A,Medium,Rural,391280.01
3449,4,1,15.7,113,2,11510,26,146.68,0,8.4,19,1.24,6704.3,165482,C,Medium,Rural,940249.95
5815,5,2,30.9,86,2,12277,18,409.57,29,0.4,20,2.93,3665.21,194835,D,Medium,Urban,1339822.71
5837,2,1,44.9,49,1,11537,22,35.02,106,2.8,15,2.79,4173.8,123116,E,Medium,Rural,1085092.48
1159,6,1,40.6,76,1,8147,49,395.59,47,4.7,19,0.95,5924.69,159722,E,Low,Rural,541351.26
4272,4,1,29.4,59,1,8631,50,300.93,86,0.9,2,2.13,5059.21,68826,A,Low,Urban,843989.23
5183,2,4,36.6,95,3,4598,42,286.5,128,7.1,8,0.88,4126.9,177349,B,High,Urban,1149515.09
5592,4,2,18.6,113,1,5329,98,229.19,18,4,7,2.59,3429.07,77970,D,High,Urban,1029600.98
3943,4,1,32.2,14,3,7718,50,138.52,45,2.8,27,4.29,6374,153528,A,Medium,Rural,922709.43
5908,2,2,23.6,35,1,10923,68,232.04,129,0.1,8,1.72,5303.01,167662,E,Medium,Rural,1176473.24
4670,3,4,9.9,112,2,14782,40,225.01,55,7.2,13,3.94,3571.44,47892,E,Low,Urban,908558.62
5399,1,3,35.2,62,2,17476,71,291.88,144,8.4,22,1.33,2447.13,37740,E,Medium,Rural,982481.27
2070,5,1,28,68,3,1051,10,140.79,91,4,27,3.53,7857.45,196800,C,Medium,Urban,623170.52
1180,4,2,18.3,85,2,17702,79,38.8,81,5.7,15,4.62,8097.29,31788,C,High,Urban,324982.16
2894,5,2,45.6,79,3,11184,87,72.54,78,2.4,12,1.96,2530.99,109381,E,Medium,Rural,625611.25
3747,6,4,1.5,40,3,13468,84,349.59,149,6.3,15,4.55,2985.67,132569,B,Low,Urban,959620.62
4849,2,1,16.1,73,2,16479,51,11.25,104,0.2,14,2.77,2771.86,159223,C,Medium,Rural,986862.17
2279,5,3,3.3,23,3,8210,22,428.22,26,4.9,7,1.93,8903.41,46515,D,Medium,Urban,573544.56
4106,2,2,38.4,81,2,13934,48,347.2,54,6.5,17,4.53,7854.24,162059,C,Medium,Urban,963496.25
5692,5,1,35.3,48,1,4956,37,384.04,59,9.2,26,0.64,1208.45,75674,D,Medium,Urban,1055270.89
3344,1,3,16.9,17,1,7057,46,417.99,108,3.9,5,0.63,8410.33,67767,C,Medium,Rural,698674.86
3956,1,2,33.9,6,2,12210,71,61.36,119,7.7,20,3.2,850.09,135737,E,Low,Urban,890136.13
4645,1,2,20.1,3,2,15590,6,411.23,84,6,10,4.09,2905.4,59644,D,High,Urban,903821.62
1843,1,3,37.9,89,2,14864,65,252.32,85,9.3,19,3.88,9230.42,58741,B,Medium,Urban,371838.67
5788,1,3,23,68,2,2525,93,442.76,116,4,18,0.86,8711.15,85121,C,High,Rural,1049597.92
3718,1,4,20.9,59,1,14277,76,443.29,107,3.3,25,4.78,7923.63,192507,C,High,Rural,956110.54
5704,2,1,46.8,54,3,8043,61,12.09,74,8.9,24,3.66,4846.7,159128,E,Low,Rural,1175635.69
2741,4,1,12.9,15,3,18662,86,191.43,118,0.6,10,4.77,3553.43,106549,D,High,Rural,681670.12
5653,5,4,6.5,98,1,9705,28,263.2,144,1.5,2,1.98,8874.69,186585,E,Medium,Rural,1300382.58
3659,1,2,29.4,89,3,7125,37,339.18,6,0.9,6,3.62,6742.2,44660,D,Medium,Urban,610097.54
5148,2,3,48.5,81,1,8874,83,143.09,147,8.4,3,4.37,3307.33,22639,C,Medium,Urban,777317.76
5923,2,3,19.2,28,3,13529,32,126.07,74,0.2,19,2.21,4900.36,106856,C,Medium,Urban,1148584.75
3559,2,3,3.6,22,2,15955,28,190.63,57,8.6,5,4.84,8874.25,92009,C,Low,Urban,738179.6
2865,4,2,17.3,116,2,3500,78,250.47,15,4.6,7,1.69,9082.83,30622,C,High,Rural,536471.28
3079,5,3,25.5,13,2,4464,22,475.57,26,0.1,7,1.92,6763.37,138192,A,Low,Urban,811742.57
5246,4,3,8.5,78,1,19643,2,381.05,50,4.1,27,4.64,7459.28,38808,C,High,Rural,886484.18
2235,3,4,33.1,48,1,16954,92,214.66,74,1.9,10,4.86,873.33,150473,C,Low,Rural,678009.67
2357,2,2,49.9,32,3,1255,44,27.18,143,6.3,1,1.78,6243.7,42951,D,Low,Rural,368775.61
5052,3,1,22.9,24,3,2502,7,84.26,86,6.8,11,1.11,7045.43,136909,C,Low,Urban,1052006.02
2670,6,4,18.1,20,3,5656,85,227.96,122,4.9,23,3.92,693.58,196148,C,Medium,Rural,866789.94
3449,1,4,20.3,16,1,11302,28,406.91,75,0.5,7,4.68,8516.66,141522,D,Medium,Urban,906350.81
3851,1,1,6.2,22,3,6430,1,190.35,39,6.6,6,3.2,9318.71,166417,C,Low,Rural,870024.09
4330,4,4,44.2,56,2,9598,49,269.25,66,8.4,6,3.36,2760.4,151469,C,High,Urban,1017507.2
3089,5,2,21,106,3,16976,64,445.9,129,7.2,13,3.93,8535.06,34665,E,High,Urban,581520.8
2231,3,3,19.7,80,2,2860,19,456.9,101,8.3,16,1.19,6822.37,34560,A,Medium,Rural,386439.81
3416,5,2,33.2,57,1,7158,51,107.89,92,2.1,13,4.88,6016.61,46376,D,Low,Rural,639258.67
1615,4,1,22.4,13,2,6806,84,21.8,109,8.9,2,2.14,8509.7,170929,E,Medium,Urban,606987.09
1948,1,1,32.6,92,2,18106,36,152.71,81,3.3,19,3.33,3213.3,118042,B,Medium,Urban,573209.38
5211,5,4,3.5,19,2,10474,71,347.9,77,0.2,19,2.61,8013.13,128304,B,Medium,Rural,1155526.38
3687,5,2,40.8,29,1,17997,26,475.56,1,8.4,29,2.61,3487.95,171382,A,Low,Rural,1031189.03
3439,1,2,47.1,18,1,6790,46,38.52,64,9.4,19,3.66,7980.84,38328,B,Low,Rural,625677.04
935,3,1,32.6,52,1,11170,98,14.24,19,6.6,18,4.98,4785.01,192469,A,Medium,Urban,479016.89
5192,1,2,47.8,102,1,10004,5,442.07,33,2.4,25,3.47,1610.98,189231,B,Low,Rural,1117701.66
1495,5,1,8,55,3,10978,59,374.07,40,2.6,6,4.07,4124.44,140087,B,High,Urban,600460.06
4146,3,2,24.1,76,1,17714,44,496.12,22,4.7,2,0.62,2718.19,68998,E,High,Rural,818753.01
1451,3,2,30.3,81,2,19596,43,198.4,37,9,19,4.15,1455.05,139292,B,Medium,Rural,540921.08
2287,1,2,29.3,22,1,8232,82,208.03,66,1.6,26,1.85,1547.73,84853,A,High,Rural,531136.06
2531,5,1,20.4,61,3,13674,17,86.16,61,8.3,6,1.07,7910.68,122304,C,Medium,Urban,697511.54
4346,4,4,17.2,109,3,17052,64,57.92,139,3,20,1.01,8873.28,170120,C,Medium,Urban,1024442.99
3027,5,2,6.8,32,3,16774,24,289.36,29,8.1,23,3.56,9307.73,70217,C,Medium,Urban,681888.13
2168,2,1,19.9,102,2,6913,26,182.14,86,9.2,22,4.99,8612.49,197327,A,Low,Urban,729427.39
4600,6,1,8.6,103,1,15102,6,40.16,147,4.3,15,3.5,8387.13,174957,A,Low,Rural,1081131.56
5652,4,2,36.9,17,1,16389,43,443.49,117,3.7,6,1.68,1153.94,86139,C,Low,Rural,1061635.26
3338,3,2,10.8,72,1,11567,28,99.18,5,8,28,1.41,8006.17,91831,B,Low,Rural,733075.71
4098,4,4,3.4,32,2,6611,94,374.29,74,5.3,3,2.87,7941.19,192220,C,Medium,Urban,1110362.28
5987,3,1,27.8,31,2,10432,43,141.11,131,6.9,11,0.79,1747.26,27103,D,Low,Urban,958162.69
5887,3,1,30,60,3,1319,35,406.45,92,6.3,8,2.3,6789.09,176323,A,High,Rural,1214237.48
